SCIACOVELLI SINDACO - CI PIACE!,NOI PER BARI - ITALEXIT PER L'ITALIA PER SCIACOVELLI SINDACO,BARI CITTÀ D'EUROPA,MOVIMENTO CINQUE STELLE,GENERAZIONE URBANA,BARI BENE COMUNE,PCI - PARTITO COMUNISTA ITALIANO,LAFORGIA SINDACO,NOI POPOLARI,PROGETTO BARI CON LECCESE,PARTITO DEMOCRATICO,LECCESE SINDACO,CON LECCESE SINDACO,DECARO PER BARI,EUROPA VERDE - VERDI,BARI X FABIO ROMITO,AGORÀ,MARIO CONCA PER BARI,NOI MODERATI - RIPRENDIAMOCI IL FUTURO,LIBERALI E RIFORMISTI - nPSI,UDC - PRIMA L'ITALIA PER ROMITO SINDACO,FRATELLI D'ITALIA,FORZA ITALIA,ROMITO SINDACO,PENSIONATI E INVALIDI,OLTRE MANGANO SINDACO,TOT_SEZIONE,COALIZIONE ROMITO,COALIZIONE LECCESE,COALIZIONE LAFORGIA,SEZIONE
3,0,10,12,6,12,0,19,7,13,73,27,16,27,4,11,0,3,3,1,14,35,15,15,2,1,329,99,167,59,276
3,1,22,14,8,31,2,43,10,12,97,22,23,34,9,7,0,5,5,0,13,46,16,11,0,0,434,103,207,120,277
5,0,28,31,16,58,1,49,3,20,110,40,19,36,13,14,0,0,8,0,13,43,10,28,1,0,546,117,241,183,278
4,4,10,48,4,17,6,26,12,20,148,24,43,46,9,9,0,2,1,8,17,47,12,26,2,2,547,124,302,111,279
11,3,20,28,7,29,3,24,8,18,80,17,35,47,6,4,0,2,6,0,13,39,20,37,2,0,459,123,211,111,280
3,0,20,21,0,9,1,14,5,10,65,14,12,50,2,9,0,2,0,3,10,28,14,20,1,3,316,87,158,65,281
1,0,8,30,0,5,0,12,4,1,76,9,12,59,1,4,1,0,10,1,30,30,5,14,1,1,315,96,162,55,282
6,1,18,24,9,21,0,47,12,28,119,28,30,39,19,18,0,2,5,0,8,74,17,33,1,2,561,158,275,119,283
1,0,13,18,0,7,2,12,12,7,90,17,31,32,5,10,1,5,4,8,13,35,15,17,0,0,355,108,194,52,284
1,0,11,15,0,3,1,7,2,5,45,8,20,30,1,3,0,0,1,1,19,44,8,27,0,4,256,103,111,37,285
0,2,16,12,3,14,0,17,12,7,77,12,37,43,2,8,0,0,6,8,31,37,21,25,0,2,392,136,190,62,286
0,1,11,21,1,4,2,4,2,7,51,12,28,30,2,3,1,1,1,2,11,19,6,4,1,0,225,49,132,43,287
2,1,12,33,7,10,1,27,15,5,98,20,29,43,4,13,1,0,4,2,14,44,16,16,1,6,424,111,214,90,288
0,3,31,44,8,34,0,52,18,29,188,37,25,76,12,12,1,5,0,1,20,57,21,12,0,2,688,129,385,169,289
1,1,16,25,3,28,3,43,5,20,111,24,28,41,10,13,1,2,4,2,12,49,11,29,0,2,484,123,239,118,290
14,1,18,25,0,0,1,12,5,5,91,11,32,44,1,4,2,1,1,2,27,36,15,18,0,3,369,106,189,56,291
1,1,24,18,3,16,1,29,5,13,91,19,14,30,9,9,0,2,3,3,12,45,15,17,0,3,383,106,181,91,292
6,4,8,18,4,14,2,28,7,18,91,27,18,59,9,10,0,0,10,5,14,37,14,30,0,3,436,120,229,74,293
4,2,19,32,8,25,3,27,6,16,141,25,30,64,6,12,1,2,3,7,16,48,23,32,3,1,556,147,288,114,294
3,2,20,29,19,21,3,49,8,34,109,25,45,54,12,15,0,1,10,2,15,69,25,25,1,1,597,163,287,141,295
8,1,13,34,7,38,4,30,15,23,119,21,31,58,10,12,0,1,3,5,16,42,17,32,3,0,543,131,277,126,296
5,3,27,49,1,23,0,27,13,7,132,20,36,65,7,5,0,0,2,6,17,60,20,33,3,3,564,146,280,127,297
1,1,12,13,0,2,0,37,3,9,65,7,11,42,2,7,1,0,12,0,27,60,20,17,2,1,352,146,139,64,298
1,0,3,20,0,2,4,9,10,6,52,15,12,41,3,1,0,0,3,14,9,23,14,2,1,0,245,67,139,38,299
4,0,17,25,8,23,3,27,13,15,75,32,22,42,15,10,1,1,0,2,15,66,18,21,0,1,456,134,214,103,300
2,4,12,31,0,16,1,20,2,23,69,25,23,66,3,5,1,0,9,0,17,29,11,26,0,9,404,98,211,80,301
0,1,14,15,2,9,1,23,7,5,54,24,17,25,2,13,0,1,6,1,14,37,19,16,2,1,309,109,134,64,302
0,0,22,30,4,10,2,12,2,12,94,13,23,40,1,6,0,1,7,3,16,24,29,12,0,1,364,98,185,80,303
4,2,18,41,3,29,0,16,4,21,143,27,25,50,6,13,0,2,2,0,14,60,20,30,4,2,536,145,276,107,304
